Date Time: 15:06:37.179 20/09/2025
Type interrogator: FBG-scan 908
ID number: F13421-0009-008
Software version: v3.1.9
Active channel: 8
Integration Time [탎]: 201
High Sensitivity: FALSE
Sample Speed [Hz]: 50
Data interleave: 1
Noise Threshold: 8.021649
Comment: 

Index	Wav0	Type	Comp	Unit	k	S1	S2	Wav Ref	CTE
8-1	1510.2717	Strain	-	탎train	7.77E-7				
8-2	1513.2001	Strain	-	탎train	7.77E-7				
8-3	1516.3347	Strain	-	탎train	7.77E-7				
8-4	1519.5065	Strain	-	탎train	7.77E-7				
8-5	1522.5170	Strain	-	탎train	7.77E-7				
8-6	1525.6216	Strain	-	탎train	7.77E-7				
8-7	1528.7924	Strain	-	탎train	7.77E-7				
8-8	1531.9640	Strain	-	탎train	7.77E-7				
8-9	1534.9679	Strain	-	탎train	7.77E-7				
8-10	1538.0656	Strain	-	탎train	7.77E-7				
8-11	1541.1573	Strain	-	탎train	7.77E-7				
8-12	1544.1976	Strain	-	탎train	7.77E-7				
8-13	1547.2576	Strain	-	탎train	7.77E-7				
8-14	1550.6317	Strain	-	탎train	7.77E-7				
8-15	1553.4847	Strain	-	탎train	7.77E-7				
8-16	1556.5425	Strain	-	탎train	7.77E-7				
8-17	1559.7606	Strain	-	탎train	7.77E-7				
8-18	1562.8787	Strain	-	탎train	7.77E-7				
8-19	1566.2847	Strain	-	탎train	7.77E-7				
8-20	1569.4191	Strain	-	탎train	7.77E-7				
8-21	1572.4069	Strain	-	탎train	7.77E-7				
8-22	1576.0526	Strain	-	탎train	7.77E-7				
8-23	1579.1913	Strain	-	탎train	7.77E-7				
8-24	1582.1642	Strain	-	탎train	7.77E-7				
8-25	1585.0455	Strain	-	탎train	7.77E-7				
8-26	1588.1902	Strain	-	탎train	7.77E-7				

Date	Time	LineNumber	System status	8-1	8-2	8-3	8-4	8-5	8-6	8-7	8-8	8-9	8-10	8-11	8-12	8-13	8-14	8-15	8-16	8-17	8-18	8-19	8-20	8-21	8-22	8-23	8-24	8-25	8-26
2025/09/20	15:06:37	17777	0 1 0 0	60.0	444.1	200.7	253.6	176.7	246.2	199.6	168.6	274.6	390.4	269.2	200.7	272.1	62.1	223.5	214.6	-19.7	305.9	11.4	-138.0	236.1	-506.3	-489.0	-398.8	-104.3	374.6
2025/09/20	15:06:37	17778	0 1 0 0	60.3	443.9	200.8	253.7	176.7	246.2	199.6	168.6	274.6	390.4	269.2	200.7	272.1	62.0	223.4	214.6	-19.6	305.9	11.4	-138.0	235.9	-506.4	-489.0	-398.8	-104.3	374.6
2025/09/20	15:06:37	17779	0 1 0 0	60.0	443.9	200.8	253.7	176.7	246.2	199.6	168.8	274.6	390.4	269.4	200.7	272.3	62.1	223.5	214.6	-19.6	305.9	11.2	-138.1	235.9	-506.4	-488.9	-398.9	-104.3	374.6
2025/09/20	15:06:37	17780	0 1 0 0	60.0	444.1	200.7	253.9	176.9	246.2	199.6	168.6	274.6	390.4	269.1	200.7	272.3	62.1	223.4	214.6	-19.6	305.7	11.4	-137.9	236.1	-506.3	-489.1	-398.8	-104.3	374.6
2025/09/20	15:06:37	17781	0 1 0 0	60.1	443.9	200.7	253.9	177.0	246.2	199.7	168.6	274.6	390.4	269.2	200.7	272.1	62.1	223.4	214.8	-19.6	305.7	11.4	-137.9	236.1	-506.4	-489.0	-398.9	-104.3	374.6
2025/09/20	15:06:37	17782	0 1 0 0	60.1	444.1	200.7	253.7	176.7	246.4	199.6	168.4	274.6	390.4	269.2	200.8	272.3	62.1	223.4	214.6	-19.5	305.9	11.4	-138.0	235.9	-506.4	-488.8	-398.9	-104.2	374.6
2025/09/20	15:06:37	17783	0 1 0 0	60.0	444.1	200.7	253.7	176.9	246.2	199.7	168.6	274.6	390.4	269.4	200.7	272.1	62.0	223.5	214.6	-19.6	305.9	11.4	-138.0	235.9	-506.4	-489.1	-398.9	-104.3	374.6
2025/09/20	15:06:37	17784	0 1 0 0	60.1	443.9	200.8	253.9	176.9	246.2	199.6	168.6	274.6	390.4	269.1	200.7	272.1	62.1	223.4	214.8	-19.7	305.9	11.4	-137.9	236.1	-506.3	-489.0	-398.9	-104.3	374.8
2025/09/20	15:06:37	17785	0 1 0 0	60.1	444.1	200.7	253.9	176.7	246.2	199.7	168.6	274.6	390.4	269.2	200.7	272.3	62.1	223.4	214.8	-19.7	305.9	11.4	-138.0	235.9	-506.4	-489.1	-398.9	-104.2	374.6
2025/09/20	15:06:37	17786	0 1 0 0	60.3	444.1	200.7	253.9	176.7	246.2	199.7	168.6	274.6	390.4	269.2	200.7	272.1	62.1	223.5	214.8	-19.6	305.9	11.4	-138.0	236.1	-506.4	-489.0	-398.7	-104.2	374.6
2025/09/20	15:06:37	17787	0 1 0 0	60.1	443.9	200.8	253.9	176.7	246.2	199.7	168.6	274.6	390.4	269.2	200.7	272.1	62.1	223.7	214.8	-19.5	305.9	11.4	-138.0	235.9	-506.4	-488.9	-398.9	-104.3	374.6
2025/09/20	15:06:37	17788	0 1 0 0	60.3	444.1	200.7	253.9	176.7	246.2	199.6	168.6	274.6	390.4	269.2	200.7	272.3	62.1	223.4	214.8	-19.6	305.9	11.4	-138.0	236.1	-506.4	-489.1	-398.8	-104.3	374.8
2025/09/20	15:06:37	17789	0 1 0 0	60.1	443.8	200.8	253.9	176.7	246.2	199.7	168.6	274.8	390.4	269.2	200.7	272.3	62.1	223.4	214.6	-19.6	305.7	11.4	-138.0	236.1	-506.4	-489.1	-398.9	-104.2	374.8
2025/09/20	15:06:37	17790	0 1 0 0	60.1	443.9	200.7	253.9	176.7	246.2	199.7	168.8	274.6	390.4	269.2	200.7	272.1	62.1	223.4	214.8	-19.6	305.9	11.4	-138.1	235.9	-506.4	-489.0	-398.9	-104.3	374.6
2025/09/20	15:06:37	17791	0 1 0 0	60.1	443.8	200.7	253.9	176.7	246.2	199.7	168.8	274.6	390.4	269.2	200.8	272.1	62.1	223.5	214.9	-19.7	305.9	11.4	-138.0	236.1	-506.5	-489.0	-398.8	-104.3	374.8
2025/09/20	15:06:37	17792	0 1 0 0	60.1	443.8	200.8	253.9	176.9	246.2	199.7	168.6	274.6	390.4	269.2	200.7	272.1	62.1	223.4	214.9	-19.6	305.9	11.4	-138.0	236.1	-506.3	-489.1	-398.8	-104.3	374.8
2025/09/20	15:06:37	17793	0 1 0 0	60.1	443.8	200.8	253.9	176.9	246.2	199.9	168.6	274.6	390.4	269.2	200.8	272.1	62.1	223.5	214.9	-19.6	305.9	11.4	-138.0	236.1	-506.4	-489.0	-399.0	-104.2	374.6
