Date Time: 12:29:48.709 20/09/2025
Type interrogator: FBG-scan 908
ID number: F13421-0009-008
Software version: v3.1.9
Active channel: 8
Integration Time [탎]: 201
High Sensitivity: FALSE
Sample Speed [Hz]: 50
Data interleave: 1
Noise Threshold: 8.021649
Comment: 

Index	Wav0	Type	Comp	Unit	k	S1	S2	Wav Ref	CTE
8-1	1510.2717	Strain	-	탎train	7.77E-7				
8-2	1513.2001	Strain	-	탎train	7.77E-7				
8-3	1516.3347	Strain	-	탎train	7.77E-7				
8-4	1519.5065	Strain	-	탎train	7.77E-7				
8-5	1522.5170	Strain	-	탎train	7.77E-7				
8-6	1525.6216	Strain	-	탎train	7.77E-7				
8-7	1528.7924	Strain	-	탎train	7.77E-7				
8-8	1531.9640	Strain	-	탎train	7.77E-7				
8-9	1534.9679	Strain	-	탎train	7.77E-7				
8-10	1538.0656	Strain	-	탎train	7.77E-7				
8-11	1541.1573	Strain	-	탎train	7.77E-7				
8-12	1544.1976	Strain	-	탎train	7.77E-7				
8-13	1547.2576	Strain	-	탎train	7.77E-7				
8-14	1550.6317	Strain	-	탎train	7.77E-7				
8-15	1553.4847	Strain	-	탎train	7.77E-7				
8-16	1556.5425	Strain	-	탎train	7.77E-7				
8-17	1559.7606	Strain	-	탎train	7.77E-7				
8-18	1562.8787	Strain	-	탎train	7.77E-7				
8-19	1566.2847	Strain	-	탎train	7.77E-7				
8-20	1569.4191	Strain	-	탎train	7.77E-7				
8-21	1572.4069	Strain	-	탎train	7.77E-7				
8-22	1576.0526	Strain	-	탎train	7.77E-7				
8-23	1579.1913	Strain	-	탎train	7.77E-7				
8-24	1582.1642	Strain	-	탎train	7.77E-7				
8-25	1585.0455	Strain	-	탎train	7.77E-7				
8-26	1588.1902	Strain	-	탎train	7.77E-7				

Date	Time	LineNumber	System status	8-1	8-2	8-3	8-4	8-5	8-6	8-7	8-8	8-9	8-10	8-11	8-12	8-13	8-14	8-15	8-16	8-17	8-18	8-19	8-20	8-21	8-22	8-23	8-24	8-25	8-26
2025/09/20	12:29:49	39866	0 1 0 0	42.0	433.2	156.9	238.4	183.3	186.1	170.3	178.4	260.6	379.8	259.7	184.9	256.7	79.8	186.4	208.9	-69.2	252.8	-2.1	-149.0	219.8	-542.8	-507.8	-417.5	-344.6	419.7
2025/09/20	12:29:49	39867	0 1 0 0	42.2	433.2	156.8	238.4	183.3	186.1	170.3	178.4	260.6	380.0	259.7	184.9	256.7	79.8	186.2	208.9	-69.2	252.7	-2.1	-149.0	219.8	-542.8	-507.7	-417.6	-344.6	419.8
2025/09/20	12:29:49	39868	0 1 0 0	42.0	433.3	157.1	238.4	183.3	186.1	170.4	178.3	260.6	380.0	260.0	185.2	256.7	79.8	186.2	208.9	-69.0	252.8	-2.1	-149.1	220.0	-542.8	-507.7	-417.5	-344.6	420.0
2025/09/20	12:29:49	39869	0 1 0 0	42.2	433.5	157.1	238.4	183.3	186.1	170.3	178.3	260.6	380.0	260.0	185.0	256.7	79.8	186.2	208.9	-68.9	252.8	-2.1	-149.1	219.8	-542.7	-507.8	-417.4	-344.6	420.0
2025/09/20	12:29:49	39870	0 1 0 0	42.0	433.5	157.1	238.4	183.5	186.1	170.4	178.1	260.8	380.0	260.2	185.0	256.7	79.8	186.4	208.9	-69.0	252.8	-2.1	-149.1	219.8	-542.7	-507.8	-417.5	-344.6	419.7
2025/09/20	12:29:49	39871	0 1 0 0	42.0	433.3	157.1	238.5	183.3	186.1	170.3	178.3	260.6	379.8	260.0	185.0	256.7	79.8	186.4	208.9	-69.0	252.8	-2.1	-149.1	219.8	-542.8	-507.8	-417.5	-344.6	420.0
2025/09/20	12:29:49	39872	0 1 0 0	42.0	433.5	157.1	238.4	183.3	186.1	170.4	178.3	260.6	379.8	260.0	185.2	256.8	79.8	186.4	208.9	-69.0	252.8	-2.1	-149.2	219.8	-542.8	-507.6	-417.5	-344.6	420.0
2025/09/20	12:29:49	39873	0 1 0 0	41.9	433.5	156.9	238.4	183.5	186.1	170.3	178.4	260.5	380.0	260.0	185.0	256.7	79.8	186.4	208.9	-69.0	252.8	-2.1	-149.1	220.0	-542.8	-507.7	-417.5	-344.6	419.8
2025/09/20	12:29:49	39874	0 1 0 0	42.2	433.5	157.1	238.4	183.6	185.9	170.3	178.1	260.6	380.0	260.0	185.0	256.7	79.8	186.2	208.9	-69.0	252.8	-2.1	-149.1	219.8	-542.8	-507.7	-417.5	-344.6	420.0
2025/09/20	12:29:49	39875	0 1 0 0	42.2	433.5	157.2	238.4	183.3	185.9	170.4	178.4	260.5	380.0	260.0	185.0	256.7	79.9	186.4	208.9	-69.0	252.8	-2.1	-149.2	219.8	-542.8	-507.7	-417.6	-344.6	420.0
2025/09/20	12:29:49	39876	0 1 0 0	42.0	433.3	157.1	238.4	183.3	186.1	170.4	178.3	260.6	379.8	260.0	185.0	256.7	79.8	186.2	208.9	-69.0	252.8	-2.1	-149.1	220.0	-542.8	-507.7	-417.5	-344.6	419.8
2025/09/20	12:29:49	39877	0 1 0 0	42.0	433.3	157.1	238.5	183.3	186.1	170.4	178.4	260.8	380.0	260.0	185.0	256.8	79.8	186.2	208.9	-69.0	252.8	-2.1	-149.1	220.0	-542.8	-507.7	-417.5	-344.6	420.0
2025/09/20	12:29:49	39878	0 1 0 0	42.0	433.5	156.9	238.4	183.5	186.1	170.3	178.3	260.5	380.0	260.0	185.0	256.7	79.8	186.2	208.9	-69.0	253.0	-2.1	-149.1	219.8	-542.7	-507.7	-417.5	-344.6	420.0
2025/09/20	12:29:49	39879	0 1 0 0	42.0	433.5	157.1	238.4	183.5	186.1	170.3	178.4	260.5	380.0	260.0	185.0	256.8	79.8	186.2	208.9	-69.0	252.8	-2.1	-149.1	219.8	-542.8	-507.6	-417.5	-344.6	420.0
2025/09/20	12:29:49	39880	0 1 0 0	41.9	433.3	156.9	238.4	183.3	186.1	170.3	178.3	260.6	380.0	260.0	185.0	256.8	79.8	186.4	208.9	-69.0	252.8	-2.1	-149.1	220.0	-542.8	-507.7	-417.6	-344.6	419.7
2025/09/20	12:29:49	39881	0 1 0 0	42.2	433.5	157.1	238.5	183.3	186.1	170.4	178.3	260.6	380.0	260.0	185.0	256.7	79.8	186.4	208.9	-69.0	252.8	-2.1	-149.1	219.8	-542.8	-507.8	-417.6	-344.6	420.0
2025/09/20	12:29:49	39882	0 1 0 0	42.0	433.5	156.9	238.4	183.3	186.1	170.3	178.3	260.5	380.0	260.0	185.0	256.7	79.8	186.2	208.9	-69.0	252.8	-2.1	-149.1	220.0	-542.7	-507.8	-417.5	-344.6	420.0
2025/09/20	12:29:49	39883	0 1 0 0	42.0	433.2	156.9	238.4	183.3	186.1	170.4	178.3	260.6	380.0	260.0	185.0	256.7	79.8	186.2	208.9	-69.0	252.8	-2.1	-149.2	219.8	-542.8	-507.7	-417.5	-344.6	419.7
2025/09/20	12:29:49	39884	0 1 0 0	41.9	433.5	156.8	238.4	183.3	186.1	170.4	178.3	260.6	380.0	260.0	185.0	256.7	79.8	186.2	208.9	-69.0	252.8	-2.1	-149.2	219.8	-542.7	-507.8	-417.5	-344.6	420.0
2025/09/20	12:29:49	39885	0 1 0 0	42.2	433.2	157.1	238.4	183.3	186.1	170.3	178.3	260.6	380.0	260.0	185.2	256.7	79.8	186.4	208.9	-69.0	252.8	-2.1	-149.1	219.8	-542.7	-507.8	-417.5	-344.6	419.8
2025/09/20	12:29:49	39886	0 1 0 0	42.0	433.5	157.1	238.4	183.3	186.1	170.3	178.1	260.6	380.0	260.0	185.0	256.7	79.8	186.2	208.9	-69.0	252.8	-2.1	-149.1	219.8	-542.8	-507.7	-417.6	-344.8	419.8
2025/09/20	12:29:49	39887	0 1 0 0	42.2	433.2	156.8	238.4	183.3	186.1	170.3	178.3	260.6	379.8	260.0	184.9	256.7	79.8	186.4	208.9	-69.0	252.8	-2.1	-149.1	220.0	-542.8	-507.8	-417.5	-344.6	420.0
2025/09/20	12:29:49	39888	0 1 0 0	41.9	433.3	157.1	238.4	183.3	186.1	170.3	178.4	260.6	380.0	260.0	184.9	256.7	79.8	186.2	208.9	-69.0	252.7	-2.1	-149.2	219.8	-542.8	-507.8	-417.5	-344.6	420.0
2025/09/20	12:29:49	39889	0 1 0 0	41.9	433.2	157.1	238.4	183.3	186.1	170.3	178.4	260.6	380.0	260.0	185.0	256.8	79.8	186.2	208.9	-69.0	252.8	-2.1	-149.1	219.8	-542.7	-507.8	-417.5	-344.6	419.8
2025/09/20	12:29:49	39890	0 1 0 0	42.2	433.5	157.1	238.4	183.5	186.1	170.4	178.1	260.6	380.0	260.0	185.0	256.7	79.8	186.2	208.9	-69.0	252.8	-2.1	-149.0	220.0	-542.8	-507.7	-417.6	-344.6	420.0
2025/09/20	12:29:49	39891	0 1 0 0	42.2	433.3	157.1	238.2	183.3	186.1	170.3	178.3	260.6	380.0	260.0	185.0	256.7	79.8	186.2	208.9	-69.0	252.8	-2.1	-149.1	220.0	-542.8	-507.8	-417.5	-344.6	420.0
2025/09/20	12:29:49	39892	0 1 0 0	42.0	433.3	157.1	238.4	183.3	186.2	170.3	178.3	260.6	380.0	260.0	185.0	256.7	79.9	186.2	208.9	-69.0	252.7	-2.1	-149.2	220.0	-542.8	-507.7	-417.5	-344.6	419.8
2025/09/20	12:29:49	39893	0 1 0 0	41.9	433.3	156.9	238.4	183.5	186.1	170.3	178.1	260.5	380.0	260.0	185.0	256.7	79.8	186.4	208.9	-69.0	252.8	-2.1	-149.1	220.0	-542.7	-507.7	-417.6	-344.6	419.7
2025/09/20	12:29:49	39894	0 1 0 0	42.0	433.3	156.9	238.2	183.3	186.1	170.3	178.3	260.5	380.0	260.0	185.0	256.7	79.8	186.2	208.9	-69.0	252.8	-2.1	-149.1	220.0	-542.7	-507.8	-417.6	-344.6	419.8
2025/09/20	12:29:49	39895	0 1 0 0	42.0	433.3	156.9	238.4	183.3	186.1	170.3	178.3	260.6	380.0	260.0	185.2	256.8	79.8	186.4	208.9	-69.0	252.8	-2.1	-149.1	219.8	-542.8	-507.7	-417.6	-344.6	420.0
2025/09/20	12:29:49	39896	0 1 0 0	42.0	433.5	157.1	238.4	183.3	186.1	170.3	178.3	260.5	380.0	260.0	185.2	256.7	79.8	186.2	208.9	-69.0	252.8	-2.1	-149.0	219.8	-542.8	-507.7	-417.5	-344.6	419.8
2025/09/20	12:29:49	39897	0 1 0 0	42.2	433.5	156.9	238.4	183.5	186.1	170.3	178.1	260.6	380.0	260.0	185.0	256.7	79.8	186.2	208.9	-69.0	252.8	-2.1	-149.2	219.8	-542.8	-507.8	-417.5	-344.6	420.0
2025/09/20	12:29:49	39898	0 1 0 0	42.2	433.5	157.1	238.4	183.3	185.9	170.3	178.3	260.6	379.8	260.0	185.0	256.8	79.8	186.2	208.9	-69.0	252.8	-2.1	-149.1	219.8	-542.8	-507.7	-417.5	-344.6	420.0
2025/09/20	12:29:49	39899	0 1 0 0	42.0	433.5	156.9	238.4	183.3	185.9	170.3	178.1	260.6	380.0	259.9	185.2	256.8	79.8	186.4	208.9	-69.0	252.7	-2.1	-149.2	219.8	-542.8	-507.8	-417.7	-344.6	419.7
2025/09/20	12:29:49	39900	0 1 0 0	42.0	433.3	157.1	238.4	183.3	186.1	170.3	178.4	260.6	380.0	260.0	185.0	256.7	79.8	186.2	208.9	-69.0	252.8	-2.1	-149.2	220.0	-542.8	-507.7	-417.5	-344.6	419.8
2025/09/20	12:29:49	39901	0 1 0 0	42.2	433.5	156.9	238.4	183.3	186.1	170.3	178.3	260.6	380.0	259.9	185.0	256.7	79.8	186.2	208.9	-69.0	252.8	-2.1	-149.1	219.8	-542.8	-507.7	-417.6	-344.6	420.0
2025/09/20	12:29:49	39902	0 1 0 0	41.9	433.5	156.9	238.4	183.3	186.1	170.3	178.3	260.5	380.0	260.0	185.0	256.7	79.8	186.4	208.9	-69.0	252.8	-2.1	-149.1	219.8	-542.8	-507.7	-417.6	-344.6	419.7
2025/09/20	12:29:49	39903	0 1 0 0	42.2	433.3	157.1	238.4	183.5	186.1	170.3	178.3	260.6	380.0	260.0	185.0	256.7	79.8	186.2	208.9	-69.0	252.8	-2.1	-149.2	219.8	-542.8	-507.6	-417.5	-344.6	419.8
2025/09/20	12:29:49	39904	0 1 0 0	42.0	433.3	157.1	238.4	183.3	186.1	170.4	178.1	260.6	380.0	260.0	185.0	256.8	79.8	186.2	208.9	-69.0	252.8	-2.1	-149.1	219.8	-542.7	-507.8	-417.6	-344.6	420.0
2025/09/20	12:29:49	39905	0 1 0 0	41.9	433.5	156.8	238.4	183.5	186.1	170.3	178.3	260.6	380.0	260.0	185.0	256.8	79.8	186.2	208.9	-69.0	252.7	-2.1	-149.1	219.8	-542.8	-507.8	-417.6	-344.6	419.8
2025/09/20	12:29:49	39906	0 1 0 0	42.0	433.2	157.1	238.4	183.5	186.1	170.3	178.3	260.5	380.0	259.9	185.0	256.7	79.8	186.2	208.9	-69.0	252.8	-2.1	-149.1	219.8	-542.8	-507.7	-417.6	-344.6	419.7
2025/09/20	12:29:49	39907	0 1 0 0	42.0	433.3	156.9	238.4	183.3	186.1	170.3	178.1	260.6	380.0	259.9	184.9	256.8	79.8	186.2	208.9	-69.0	252.7	-2.1	-149.1	219.8	-542.9	-507.7	-417.5	-344.6	419.8
2025/09/20	12:29:49	39908	0 1 0 0	42.2	433.2	156.9	238.4	183.3	186.1	170.4	178.3	260.6	380.0	260.0	185.0	256.7	79.8	186.2	208.9	-69.0	252.8	-2.1	-149.2	219.8	-542.7	-507.8	-417.5	-344.6	419.8
2025/09/20	12:29:49	39909	0 1 0 0	42.2	433.5	157.1	238.4	183.3	186.1	170.3	178.1	260.6	380.0	260.0	185.0	256.7	79.8	186.2	208.9	-69.0	252.7	-2.1	-149.2	219.8	-542.8	-507.7	-417.5	-344.6	420.0
2025/09/20	12:29:49	39910	0 1 0 0	42.2	433.5	156.9	238.4	183.5	186.1	170.4	178.1	260.6	380.0	260.0	185.0	256.8	79.6	186.2	208.9	-69.0	252.8	-2.1	-149.2	219.8	-542.8	-507.7	-417.6	-344.6	419.8
2025/09/20	12:29:49	39911	0 1 0 0	41.9	433.3	156.9	238.2	183.3	186.1	170.3	178.1	260.5	379.8	260.0	185.0	256.7	79.8	186.2	208.9	-69.0	252.7	-2.1	-149.1	219.8	-542.7	-507.8	-417.5	-344.6	420.0
2025/09/20	12:29:49	39912	0 1 0 0	42.0	433.3	157.1	238.2	183.5	186.1	170.3	178.1	260.6	380.0	259.9	185.0	256.7	79.8	186.2	208.9	-69.0	252.8	-2.1	-149.1	219.8	-542.8	-507.8	-417.6	-344.6	419.8
2025/09/20	12:29:49	39913	0 1 0 0	42.2	433.5	156.9	238.4	183.3	186.1	170.3	178.1	260.6	380.0	259.9	185.0	256.7	79.8	186.2	208.9	-69.0	252.7	-2.1	-149.2	219.8	-542.8	-507.8	-417.5	-344.6	419.8
2025/09/20	12:29:49	39914	0 1 0 0	42.0	433.3	157.1	238.4	183.3	186.1	170.3	178.1	260.6	380.0	260.0	185.0	256.7	79.8	186.2	208.9	-69.0	252.7	-2.1	-149.1	219.8	-542.8	-507.7	-417.6	-344.6	419.8
2025/09/20	12:29:50	39915	0 1 0 0	42.0	433.3	156.9	238.4	183.3	186.1	170.3	178.1	260.6	380.0	259.9	185.0	256.8	79.8	186.2	208.9	-69.0	252.7	-2.1	-149.1	219.8	-542.8	-507.8	-417.7	-344.6	419.7
2025/09/20	12:29:50	39916	0 1 0 0	41.9	433.3	156.9	238.4	183.3	186.1	170.3	178.3	260.5	380.0	259.9	185.2	256.8	79.8	186.2	208.9	-69.0	252.7	-2.1	-149.1	220.0	-542.8	-507.8	-417.6	-344.6	419.8
2025/09/20	12:29:50	39917	0 1 0 0	42.2	433.3	157.1	238.4	183.3	186.1	170.3	178.1	260.6	380.0	259.9	185.0	256.8	79.8	186.2	208.9	-69.0	252.8	-2.1	-149.2	219.8	-542.9	-507.8	-417.6	-344.6	420.0
2025/09/20	12:29:50	39918	0 1 0 0	42.0	433.5	156.9	238.4	183.3	186.1	170.3	178.1	260.6	379.8	260.0	185.0	256.8	79.8	186.2	208.9	-69.0	252.8	-2.1	-149.2	219.8	-542.7	-507.8	-417.5	-344.6	419.8
2025/09/20	12:29:50	39919	0 1 0 0	42.2	433.5	157.1	238.4	183.3	185.9	170.4	178.3	260.5	380.0	260.0	185.0	256.7	79.8	186.2	208.9	-69.2	252.8	-2.1	-149.1	219.8	-542.7	-507.7	-417.5	-344.6	420.0
2025/09/20	12:29:50	39920	0 1 0 0	42.2	433.3	157.1	238.4	183.3	186.1	170.3	178.4	260.8	380.0	260.0	185.2	256.8	79.8	186.2	208.9	-69.0	252.8	-2.1	-149.0	219.8	-542.6	-507.7	-417.4	-344.6	419.8
2025/09/20	12:29:50	39921	0 1 0 0	42.0	433.5	157.1	238.4	183.5	185.9	170.4	178.3	260.5	380.0	260.0	185.0	256.7	79.8	186.2	208.9	-69.0	252.8	-2.1	-148.9	219.8	-542.7	-507.8	-417.5	-344.6	419.8
2025/09/20	12:29:50	39922	0 1 0 0	42.0	433.3	156.9	238.4	183.3	185.9	170.4	178.4	260.6	380.1	260.0	185.0	256.7	79.8	186.2	208.9	-69.0	252.8	-2.1	-149.0	219.8	-542.7	-507.7	-417.5	-344.6	419.8
2025/09/20	12:29:50	39923	0 1 0 0	42.2	433.5	156.9	238.4	183.3	186.1	170.3	178.4	260.6	380.0	260.0	184.9	256.8	79.8	186.2	208.8	-69.0	252.8	-2.1	-149.0	219.8	-542.7	-507.7	-417.5	-344.6	420.0
2025/09/20	12:29:50	39924	0 1 0 0	41.9	433.5	156.9	238.4	183.3	185.9	170.4	178.4	260.6	380.0	260.0	185.0	256.8	79.8	186.2	208.8	-69.0	252.8	-2.1	-149.1	219.8	-542.7	-507.7	-417.5	-344.6	420.0
2025/09/20	12:29:50	39925	0 1 0 0	42.0	433.3	156.9	238.4	183.3	186.1	170.3	178.3	260.8	380.0	259.9	185.2	256.8	79.8	186.2	208.9	-69.0	252.8	-2.1	-149.0	219.8	-542.7	-507.8	-417.5	-344.6	419.7
2025/09/20	12:29:50	39926	0 1 0 0	41.9	433.5	156.9	238.4	183.3	185.9	170.4	178.3	260.6	380.0	260.0	185.0	256.7	79.8	186.2	208.9	-69.0	252.8	-1.9	-149.0	219.7	-542.7	-507.7	-417.5	-344.6	419.8
2025/09/20	12:29:50	39927	0 1 0 0	42.2	433.5	157.1	238.2	183.3	186.1	170.3	178.3	260.5	380.0	260.0	185.0	256.7	79.8	186.2	208.9	-69.0	252.8	-2.1	-149.0	219.7	-542.6	-507.6	-417.5	-344.6	420.0
2025/09/20	12:29:50	39928	0 1 0 0	42.0	433.3	157.1	238.4	183.3	185.9	170.4	178.3	260.5	380.0	260.0	184.9	256.7	79.8	186.2	208.9	-69.0	252.8	-2.1	-149.1	219.8	-542.7	-507.8	-417.5	-344.6	420.0
