Date Time: 18:00:58.199 3/10/2025
Type interrogator: FBG-scan 908
ID number: F13421-0009-008
Software version: v3.1.9
Active channel: 1
Integration Time [탎]: 107
High Sensitivity: FALSE
Sample Speed [Hz]: 10
Data interleave: 1
Noise Threshold: 7.181885
Comment: 

Index	Wav0	Type	Comp	Unit	k	S1	S2	Wav Ref	CTE
1-1	1510.4468	Strain	-	탎train	7.77E-7				
1-2	1513.5522	Strain	-	탎train	7.77E-7				
1-3	1516.6464	Strain	-	탎train	7.77E-7				
1-4	1519.8484	Strain	-	탎train	7.77E-7				
1-5	1522.7909	Strain	-	탎train	7.77E-7				
1-6	1525.9293	Strain	-	탎train	7.77E-7				
1-7	1529.1089	Strain	-	탎train	7.77E-7				
1-8	1532.1644	Strain	-	탎train	7.77E-7				
1-9	1535.3301	Strain	-	탎train	7.77E-7				
1-10	1538.5734	Strain	-	탎train	7.77E-7				
1-11	1541.5057	Strain	-	탎train	7.77E-7				
1-12	1544.4687	Strain	-	탎train	7.77E-7				
1-13	1547.6416	Strain	-	탎train	7.77E-7				
1-14	1550.7506	Strain	-	탎train	7.77E-7				
1-15	1553.7822	Strain	-	탎train	7.77E-7				
1-16	1556.8401	Strain	-	탎train	7.77E-7				
1-17	1559.9238	Strain	-	탎train	7.77E-7				
1-18	1563.3032	Strain	-	탎train	7.77E-7				
1-19	1566.3636	Strain	-	탎train	7.77E-7				
1-20	1569.3170	Strain	-	탎train	7.77E-7				
1-21	1572.6998	Strain	-	탎train	7.77E-7				
1-22	1575.4220	Strain	-	탎train	7.77E-7				
1-23	1578.6724	Strain	-	탎train	7.77E-7				
1-24	1581.7581	Strain	-	탎train	7.77E-7				
1-25	1584.9137	Strain	-	탎train	7.77E-7				
1-26	1588.7172	Strain	-	탎train	7.77E-7				

Date	Time	LineNumber	System status	1-1	1-2	1-3	1-4	1-5	1-6	1-7	1-8	1-9	1-10	1-11	1-12	1-13	1-14	1-15	1-16	1-17	1-18	1-19	1-20	1-21	1-22	1-23	1-24	1-25	1-26
2025/10/03	18:01:04	961	0 0 0 0	1.7	5.2	5.7	3.1	2.3	6.4	1.7	1.4	3.7	3.8	3.1	-0.2	8.3	8.4	2.6	3.8	3.8	2.6	2.0	8.3	1.1	6.9	3.7	3.1	6.8	-2.1
2025/10/03	18:01:04	962	0 0 0 0	1.5	5.4	5.7	3.1	2.5	6.4	1.5	1.2	3.8	3.8	3.2	-0.2	8.3	8.6	2.5	3.7	4.0	2.6	2.0	8.3	1.2	6.8	3.7	3.1	6.8	-2.1
2025/10/03	18:01:04	963	0 0 0 0	1.5	5.2	5.7	3.1	2.5	6.4	1.5	1.2	3.8	3.7	3.2	-0.2	8.3	8.4	2.5	3.7	3.7	2.6	2.1	8.3	1.1	6.8	3.5	3.2	6.8	-2.2
2025/10/03	18:01:04	964	0 0 0 0	1.8	5.5	5.8	3.4	2.3	6.3	1.5	1.4	3.8	3.7	3.4	-0.2	8.3	8.4	2.6	3.7	3.5	2.5	2.0	8.4	1.1	6.8	3.4	3.1	6.4	-2.2
2025/10/03	18:01:04	965	0 0 0 0	2.0	5.5	5.4	3.4	2.5	6.4	1.8	1.2	3.8	3.7	3.4	-0.3	8.3	8.6	2.6	3.8	3.8	2.6	2.0	8.1	1.1	6.8	3.4	3.1	6.6	-2.1
2025/10/03	18:01:04	966	0 0 0 0	2.1	5.5	5.5	3.2	2.5	6.4	1.7	1.2	3.8	3.5	3.2	-0.2	8.3	8.4	2.8	3.7	3.5	2.6	2.0	8.1	1.1	6.8	3.5	2.9	6.8	-1.8
2025/10/03	18:01:04	967	0 0 0 0	2.0	5.4	5.2	3.4	2.5	6.4	1.7	1.2	3.8	3.7	3.2	-0.2	8.3	8.6	2.6	3.8	3.5	2.5	2.0	8.1	1.1	6.8	3.5	3.1	6.8	-2.1
2025/10/03	18:01:04	968	0 0 0 0	2.0	5.4	5.1	3.4	2.5	6.4	1.7	1.4	3.8	3.4	3.2	-0.2	8.4	8.6	2.8	3.7	3.4	2.5	2.0	8.1	1.1	6.8	3.5	3.1	6.8	-2.2
2025/10/03	18:01:04	969	0 0 0 0	2.0	5.2	4.9	3.5	2.5	6.4	1.7	1.2	3.8	3.4	3.4	-0.2	8.3	8.6	2.8	3.7	3.2	2.6	2.1	8.3	1.1	6.8	3.5	3.1	6.6	-2.1
2025/10/03	18:01:04	970	0 0 0 0	2.1	5.2	4.8	3.4	2.6	6.4	1.7	1.4	3.8	3.4	3.4	-0.3	8.4	8.6	2.5	3.8	3.5	2.8	2.1	8.1	1.2	6.9	3.5	3.1	6.6	-2.1
2025/10/03	18:01:05	971	0 0 0 0	2.1	5.5	4.9	3.2	2.3	6.4	1.7	1.2	3.8	3.4	3.4	-0.2	8.3	8.4	2.8	3.7	3.1	2.6	2.0	8.1	1.1	6.8	3.5	3.1	6.6	-2.1
2025/10/03	18:01:05	972	0 0 0 0	2.3	5.5	4.6	3.4	2.5	6.3	1.7	1.2	3.8	3.2	3.4	-0.2	8.4	8.4	2.8	3.7	2.9	2.6	1.8	8.1	1.2	6.8	3.5	3.1	6.8	-2.1
2025/10/03	18:01:05	973	0 0 0 0	2.3	5.4	4.6	3.7	2.3	6.4	1.8	1.2	3.8	3.2	3.4	-0.2	8.4	8.4	2.8	3.7	3.1	2.8	2.0	8.1	1.1	6.8	3.7	3.4	6.9	-2.2
2025/10/03	18:01:05	974	0 0 0 0	2.1	5.4	4.6	3.4	2.5	6.4	1.7	1.2	3.8	3.1	3.4	-0.2	8.3	8.6	2.8	3.7	2.9	2.8	2.0	8.3	1.2	6.8	3.7	3.4	6.6	-2.1
2025/10/03	18:01:05	975	0 0 0 0	2.1	5.4	4.8	3.7	2.5	6.4	1.7	1.2	3.8	3.1	3.2	-0.2	8.4	8.3	2.8	3.8	2.6	2.8	2.0	8.3	1.1	6.8	3.8	3.4	6.8	-2.1
2025/10/03	18:01:05	976	0 0 0 0	2.1	5.4	4.9	3.7	2.5	6.4	1.8	1.2	3.8	2.9	3.4	-0.2	8.3	8.3	2.8	3.8	2.6	2.9	2.0	8.3	1.2	6.8	3.8	3.7	6.8	-2.1
