Date Time: 14:28:22.474 16/10/2025
Type interrogator: FBG-scan 908
ID number: F13421-0009-008
Software version: v3.1.9
Active channel: 0
Integration Time [탎]: 119
High Sensitivity: FALSE
Sample Speed [Hz]: 10
Data interleave: 1
Noise Threshold: 7.193216
Comment: 

Index	Wav0	Type	Comp	Unit	k	S1	S2	Wav Ref	CTE
0-1	1510.4197	Strain	-	탎train	7.77E-7				
0-2	1513.7096	Strain	-	탎train	7.77E-7				
0-3	1516.6763	Strain	-	탎train	7.77E-7				
0-4	1519.8021	Strain	-	탎train	7.77E-7				
0-5	1522.7379	Strain	-	탎train	7.77E-7				
0-6	1525.9301	Strain	-	탎train	7.77E-7				
0-7	1529.1311	Strain	-	탎train	7.77E-7				
0-8	1532.1177	Strain	-	탎train	7.77E-7				
0-9	1535.3795	Strain	-	탎train	7.77E-7				
0-10	1538.5444	Strain	-	탎train	7.77E-7				
0-11	1541.5012	Strain	-	탎train	7.77E-7				
0-12	1544.4177	Strain	-	탎train	7.77E-7				
0-13	1547.6040	Strain	-	탎train	7.77E-7				
0-14	1550.7284	Strain	-	탎train	7.77E-7				
0-15	1553.8055	Strain	-	탎train	7.77E-7				
0-16	1556.8945	Strain	-	탎train	7.77E-7				
0-17	1559.9088	Strain	-	탎train	7.77E-7				
0-18	1563.2583	Strain	-	탎train	7.77E-7				
0-19	1566.2750	Strain	-	탎train	7.77E-7				
0-20	1569.1698	Strain	-	탎train	7.77E-7				
0-21	1572.6726	Strain	-	탎train	7.77E-7				
0-22	1575.4655	Strain	-	탎train	7.77E-7				
0-23	1578.6234	Strain	-	탎train	7.77E-7				
0-24	1581.6776	Strain	-	탎train	7.77E-7				
0-25	1584.8395	Strain	-	탎train	7.77E-7				
0-26	1588.7590	Strain	-	탎train	7.77E-7				

Date	Time	LineNumber	System status	0-1	0-2	0-3	0-4	0-5	0-6	0-7	0-8	0-9	0-10	0-11	0-12	0-13	0-14	0-15	0-16	0-17	0-18	0-19	0-20	0-21	0-22	0-23	0-24	0-25	0-26
2025/10/16	14:28:22	4749	0 0 0 0	-7.1	-3.5	-3.5	-1.7	-8.3	-6.4	1.4	-4.4	-10.5	-5.8	0.5	-6.9	-5.8	2.9	-3.0	-7.2	-6.5	-6.8	-6.6	9.1	26.5	-0.8	-2.4	-1.7	0.9	-6.0
2025/10/16	14:28:22	4750	0 0 0 0	-7.2	-3.1	-3.3	-1.4	-8.6	-6.7	1.2	-4.1	-10.2	-6.1	0.3	-6.8	-5.9	2.9	-3.0	-7.2	-6.5	-7.0	-6.7	9.1	26.5	-1.2	-2.5	-1.7	0.9	-5.8
2025/10/16	14:28:22	4751	0 0 0 0	-6.9	-3.3	-3.4	-1.5	-8.3	-6.8	1.4	-4.2	-10.0	-6.0	0.3	-6.7	-6.1	2.8	-2.9	-7.2	-6.3	-6.8	-6.6	9.1	26.4	-1.3	-2.2	-1.8	0.9	-5.8
2025/10/16	14:28:22	4752	0 0 0 0	-6.7	-3.3	-3.4	-1.5	-8.4	-7.1	1.4	-4.2	-9.9	-6.1	0.3	-6.6	-5.9	3.1	-2.9	-7.3	-6.3	-6.7	-6.6	9.1	26.5	-1.3	-2.2	-1.8	0.9	-5.8
2025/10/16	14:28:22	4753	0 0 0 0	-6.6	-3.3	-3.6	-1.4	-8.4	-7.1	1.4	-4.2	-9.9	-6.1	0.5	-6.7	-6.2	2.9	-2.9	-7.1	-6.3	-6.5	-6.5	9.1	26.2	-1.3	-2.1	-1.7	0.8	-5.9
2025/10/16	14:28:23	4754	0 0 0 0	-6.9	-3.1	-3.5	-1.5	-8.1	-7.3	1.4	-4.1	-9.7	-6.1	0.3	-6.4	-6.4	3.1	-2.9	-7.1	-6.4	-6.6	-6.5	9.1	26.4	-1.4	-2.1	-1.6	0.8	-5.9
2025/10/16	14:28:23	4755	0 0 0 0	-6.6	-3.5	-3.6	-1.5	-8.3	-7.4	1.4	-4.1	-9.6	-6.4	0.3	-6.4	-6.5	2.8	-2.8	-7.1	-6.3	-6.4	-6.4	9.1	26.2	-1.3	-2.1	-1.4	0.8	-5.8
2025/10/16	14:28:23	4756	0 0 0 0	-6.8	-3.3	-3.6	-1.8	-8.2	-7.6	1.2	-3.8	-9.5	-6.7	0.3	-6.4	-6.7	2.9	-2.7	-7.0	-6.4	-6.6	-6.3	9.1	26.4	-1.1	-2.2	-1.7	0.9	-5.8
2025/10/16	14:28:23	4757	0 0 0 0	-6.8	-3.3	-3.6	-1.8	-7.9	-7.6	1.4	-3.8	-9.5	-7.0	0.5	-6.4	-7.0	2.9	-2.7	-7.0	-6.1	-6.5	-6.2	9.1	26.5	-0.7	-1.8	-1.5	1.1	-5.6
2025/10/16	14:28:23	4758	0 0 0 0	-6.8	-3.6	-3.7	-1.8	-8.1	-7.6	1.4	-3.9	-9.4	-7.0	0.5	-6.4	-7.0	2.8	-2.6	-6.9	-6.1	-6.2	-6.1	9.1	26.4	-0.5	-1.9	-1.6	0.9	-5.6
2025/10/16	14:28:23	4759	0 0 0 0	-6.5	-3.1	-3.8	-1.8	-8.0	-7.8	1.2	-3.6	-9.4	-7.3	0.3	-6.2	-7.0	2.9	-2.6	-6.6	-6.0	-6.1	-6.1	9.1	26.5	-0.4	-1.8	-1.5	0.9	-6.0
2025/10/16	14:28:23	4760	0 0 0 0	-6.6	-3.5	-3.7	-1.8	-7.7	-7.9	1.4	-3.6	-9.3	-7.3	0.2	-6.1	-7.1	2.9	-2.5	-6.7	-5.8	-6.1	-6.1	8.9	26.5	-0.4	-1.7	-1.5	0.9	-5.8
2025/10/16	14:28:23	4761	0 0 0 0	-6.5	-3.1	-3.7	-1.8	-7.7	-7.8	1.4	-3.8	-9.4	-7.7	0.3	-5.9	-7.1	3.1	-2.6	-6.6	-6.0	-6.1	-6.0	9.1	26.4	-0.5	-1.8	-1.4	1.1	-5.8
2025/10/16	14:28:23	4762	0 0 0 0	-6.2	-3.4	-3.8	-2.0	-7.3	-7.9	1.4	-3.5	-9.7	-7.5	0.2	-5.9	-7.3	3.1	-2.5	-6.3	-6.0	-6.1	-6.0	8.9	26.4	-0.5	-1.5	-1.4	0.9	-5.6
