Date Time: 14:05:37.549 16/10/2025
Type interrogator: FBG-scan 908
ID number: F13421-0009-008
Software version: v3.1.9
Active channel: 0
Integration Time [탎]: 125
High Sensitivity: FALSE
Sample Speed [Hz]: 10
Data interleave: 1
Noise Threshold: 7.230713
Comment: 

Index	Wav0	Type	Comp	Unit	k	S1	S2	Wav Ref	CTE
0-1	1510.4442	Strain	-	탎train	7.77E-7				
0-2	1513.6973	Strain	-	탎train	7.77E-7				
0-3	1516.7111	Strain	-	탎train	7.77E-7				
0-4	1519.8291	Strain	-	탎train	7.77E-7				
0-5	1522.7738	Strain	-	탎train	7.77E-7				
0-6	1525.9744	Strain	-	탎train	7.77E-7				
0-7	1529.1144	Strain	-	탎train	7.77E-7				
0-8	1532.1573	Strain	-	탎train	7.77E-7				
0-9	1535.3431	Strain	-	탎train	7.77E-7				
0-10	1538.5580	Strain	-	탎train	7.77E-7				
0-11	1541.5425	Strain	-	탎train	7.77E-7				
0-12	1544.4595	Strain	-	탎train	7.77E-7				
0-13	1547.6040	Strain	-	탎train	7.77E-7				
0-14	1550.7336	Strain	-	탎train	7.77E-7				
0-15	1553.7524	Strain	-	탎train	7.77E-7				
0-16	1556.9119	Strain	-	탎train	7.77E-7				
0-17	1559.8323	Strain	-	탎train	7.77E-7				
0-18	1563.2498	Strain	-	탎train	7.77E-7				
0-19	1566.3275	Strain	-	탎train	7.77E-7				
0-20	1569.2777	Strain	-	탎train	7.77E-7				
0-21	1572.6339	Strain	-	탎train	7.77E-7				
0-22	1575.5691	Strain	-	탎train	7.77E-7				
0-23	1578.5421	Strain	-	탎train	7.77E-7				
0-24	1581.6923	Strain	-	탎train	7.77E-7				
0-25	1584.7240	Strain	-	탎train	7.77E-7				
0-26	1588.7863	Strain	-	탎train	7.77E-7				

Date	Time	LineNumber	System status	0-1	0-2	0-3	0-4	0-5	0-6	0-7	0-8	0-9	0-10	0-11	0-12	0-13	0-14	0-15	0-16	0-17	0-18	0-19	0-20	0-21	0-22	0-23	0-24	0-25	0-26
2025/10/16	14:05:37	7812	0 0 0 0	-21.1	-7.7	-40.3	-11.7	-28.7	-38.5	-22.4	-30.6	-0.5	-18.6	-0.2	-25.6	24.5	-3.5	27.3	-21.6	131.8	33.4	-52.8	-103.5	77.5	-85.8	74.9	-9.5	112.1	-25.8
2025/10/16	14:05:37	7813	0 0 0 0	-20.9	-7.6	-40.2	-12.1	-28.7	-38.7	-22.4	-30.7	-0.6	-18.6	-0.4	-25.8	24.5	-3.5	27.3	-21.6	131.5	33.4	-52.9	-103.6	77.3	-86.0	74.9	-9.4	112.5	-25.5
2025/10/16	14:05:37	7814	0 0 0 0	-21.3	-7.8	-39.8	-12.0	-28.7	-38.5	-22.6	-30.9	-0.5	-18.5	-0.2	-25.8	24.9	-3.2	27.2	-21.7	131.8	33.4	-52.8	-103.6	77.3	-86.0	74.7	-9.5	112.1	-25.6
2025/10/16	14:05:37	7815	0 0 0 0	-21.2	-7.8	-39.8	-12.0	-28.8	-38.7	-22.4	-30.8	-0.7	-18.5	-0.4	-25.9	24.7	-3.1	27.3	-21.7	131.8	33.4	-52.9	-103.9	77.3	-86.1	74.7	-9.3	112.3	-25.5
2025/10/16	14:05:37	7816	0 0 0 0	-21.2	-7.8	-39.7	-11.8	-28.7	-38.5	-22.6	-30.6	-0.7	-18.5	-0.2	-26.1	24.5	-2.9	27.3	-21.6	131.8	33.4	-52.9	-103.8	77.3	-86.0	74.6	-9.3	112.5	-25.9
2025/10/16	14:05:38	7817	0 0 0 0	-20.9	-7.9	-39.7	-11.8	-28.9	-38.4	-22.7	-30.5	-0.4	-18.3	-0.2	-26.1	24.5	-2.9	27.3	-21.6	131.8	33.6	-53.0	-103.9	77.3	-86.0	74.6	-9.5	112.6	-25.9
2025/10/16	14:05:38	7818	0 0 0 0	-21.0	-7.8	-39.7	-11.7	-28.7	-38.3	-22.5	-30.5	-0.3	-18.3	-0.2	-26.1	24.5	-2.9	27.3	-21.6	131.6	33.4	-52.9	-103.9	77.3	-85.8	74.6	-9.7	112.5	-25.9
2025/10/16	14:05:38	7819	0 0 0 0	-21.2	-7.7	-39.4	-11.8	-28.7	-38.4	-22.6	-30.6	-0.1	-18.0	-0.2	-26.1	24.4	-3.0	27.5	-21.6	131.3	33.6	-53.0	-104.3	77.3	-85.5	74.6	-9.6	112.5	-25.9
2025/10/16	14:05:38	7820	0 0 0 0	-21.1	-7.7	-39.7	-12.0	-28.8	-38.7	-22.6	-30.4	-0.1	-18.0	-0.5	-26.2	24.5	-2.8	27.3	-21.3	131.5	33.4	-52.9	-104.3	77.0	-85.5	74.1	-9.6	112.5	-26.2
2025/10/16	14:05:38	7821	0 0 0 0	-21.4	-7.8	-39.4	-12.0	-28.7	-38.8	-22.6	-30.1	-0.1	-17.8	-0.4	-26.1	24.5	-2.6	27.5	-21.5	131.5	33.4	-53.0	-104.3	77.2	-85.6	74.1	-9.4	112.6	-25.9
