Date Time: 15:03:45.542 16/10/2025
Type interrogator: FBG-scan 908
ID number: F13421-0009-008
Software version: v3.1.9
Active channel: 8
Integration Time [µs]: 119
High Sensitivity: FALSE
Sample Speed [Hz]: 10
Data interleave: 1
Noise Threshold: 7.192566
Comment: 

Index	Wav0	
8-1	1510.4261
8-2	1513.6619
8-3	1516.6829
8-4	1519.7834
8-5	1522.7416
8-6	1525.9331
8-7	1529.1730
8-8	1532.1031
8-9	1535.3229
8-10	1538.5406
8-11	1541.4613
8-12	1544.4070
8-13	1547.6112
8-14	1550.7678
8-15	1553.8059
8-16	1556.9015
8-17	1559.8984
8-18	1563.2610
8-19	1566.2812
8-20	1569.1683
8-21	1572.7283
8-22	1575.4851
8-23	1578.6222
8-24	1581.6810
8-25	1584.8348
8-26	1588.7635

Date	Time	LineNumber	System status	Wav8-1	Wav8-2	Wav8-3	Wav8-4	Wav8-5	Wav8-6	Wav8-7	Wav8-8	Wav8-9	Wav8-10	Wav8-11	Wav8-12	Wav8-13	Wav8-14	Wav8-15	Wav8-16	Wav8-17	Wav8-18	Wav8-19	Wav8-20	Wav8-21	Wav8-22	Wav8-23	Wav8-24	Wav8-25	Wav8-26	Pow8-1	Pow8-2	Pow8-3	Pow8-4	Pow8-5	Pow8-6	Pow8-7	Pow8-8	Pow8-9	Pow8-10	Pow8-11	Pow8-12	Pow8-13	Pow8-14	Pow8-15	Pow8-16	Pow8-17	Pow8-18	Pow8-19	Pow8-20	Pow8-21	Pow8-22	Pow8-23	Pow8-24	Pow8-25	Pow8-26
2025/10/16	15:03:46	928	0 0 0 0	1510.4293	1513.6686	1516.6776	1519.7876	1522.7426	1525.9287	1529.1700	1532.1075	1535.3267	1538.5352	1541.4687	1544.4095	1547.6104	1550.7510	1553.8107	1556.9001	1559.8910	1563.2568	1566.2950	1569.1741	1572.7378	1575.4832	1578.6162	1581.6807	1584.8390	1588.7544	34.1	38.2	40.3	47.2	38.7	57.3	57.4	57.5	64.6	51.3	60.0	66.1	77.0	66.4	67.8	72.8	64.1	59.2	68.1	59.3	62.3	63.3	45.3	44.5	44.7	40.5
2025/10/16	15:03:46	929	0 0 0 0	1510.4296	1513.6687	1516.6777	1519.7877	1522.7424	1525.9288	1529.1702	1532.1075	1535.3267	1538.5352	1541.4689	1544.4098	1547.6102	1550.7510	1553.8108	1556.9005	1559.8907	1563.2570	1566.2949	1569.1742	1572.7379	1575.4829	1578.6163	1581.6807	1584.8387	1588.7545	34.1	38.2	40.3	47.1	38.7	57.3	57.4	57.5	64.5	51.4	59.9	66.1	77.0	66.6	67.7	72.8	64.2	59.3	67.9	59.3	62.3	63.3	45.3	44.5	44.8	40.6
2025/10/16	15:03:46	930	0 0 0 0	1510.4294	1513.6687	1516.6774	1519.7877	1522.7424	1525.9286	1529.1699	1532.1077	1535.3267	1538.5350	1541.4687	1544.4098	1547.6101	1550.7509	1553.8107	1556.9004	1559.8906	1563.2571	1566.2950	1569.1742	1572.7379	1575.4828	1578.6162	1581.6807	1584.8387	1588.7542	34.1	38.2	40.3	47.1	38.8	57.3	57.3	57.6	64.5	51.4	60.0	66.2	77.1	66.5	67.7	72.8	64.2	59.2	68.0	59.3	62.3	63.4	45.3	44.5	44.7	40.6
2025/10/16	15:03:46	931	0 0 0 0	1510.4293	1513.6687	1516.6772	1519.7877	1522.7426	1525.9286	1529.1699	1532.1078	1535.3267	1538.5350	1541.4687	1544.4099	1547.6100	1550.7509	1553.8107	1556.9006	1559.8906	1563.2570	1566.2949	1569.1743	1572.7379	1575.4825	1578.6163	1581.6808	1584.8386	1588.7543	34.1	38.2	40.3	47.1	38.7	57.2	57.3	57.6	64.5	51.4	60.0	66.2	76.9	66.6	67.7	72.7	64.2	59.1	67.9	59.3	62.3	63.4	45.4	44.5	44.8	40.5
2025/10/16	15:03:46	932	0 0 0 0	1510.4296	1513.6687	1516.6771	1519.7877	1522.7426	1525.9285	1529.1699	1532.1077	1535.3265	1538.5350	1541.4687	1544.4100	1547.6099	1550.7507	1553.8108	1556.9006	1559.8907	1563.2570	1566.2949	1569.1742	1572.7379	1575.4824	1578.6165	1581.6805	1584.8387	1588.7540	34.1	38.2	40.3	47.1	38.8	57.2	57.4	57.4	64.6	51.3	60.0	66.2	77.0	66.5	67.7	72.6	64.2	59.2	68.0	59.3	62.4	63.4	45.3	44.6	44.8	40.6
2025/10/16	15:03:47	933	0 0 0 0	1510.4296	1513.6687	1516.6771	1519.7878	1522.7426	1525.9286	1529.1699	1532.1078	1535.3264	1538.5349	1541.4687	1544.4100	1547.6097	1550.7507	1553.8109	1556.9009	1559.8909	1563.2568	1566.2952	1569.1744	1572.7379	1575.4822	1578.6166	1581.6807	1584.8387	1588.7543	34.1	38.2	40.4	47.2	38.7	57.3	57.3	57.5	64.5	51.4	60.0	66.1	76.9	66.6	67.7	72.7	64.1	59.2	68.1	59.3	62.3	63.4	45.3	44.5	44.7	40.5
2025/10/16	15:03:47	934	0 0 0 0	1510.4298	1513.6687	1516.6769	1519.7878	1522.7426	1525.9286	1529.1699	1532.1078	1535.3263	1538.5349	1541.4689	1544.4103	1547.6097	1550.7506	1553.8108	1556.9008	1559.8910	1563.2571	1566.2950	1569.1743	1572.7378	1575.4819	1578.6166	1581.6808	1584.8389	1588.7543	34.1	38.2	40.3	47.1	38.8	57.3	57.4	57.4	64.4	51.4	60.0	66.2	76.8	66.6	67.7	72.7	64.1	59.2	68.0	59.4	62.3	63.4	45.3	44.6	44.7	40.5
2025/10/16	15:03:47	935	0 0 0 0	1510.4296	1513.6686	1516.6766	1519.7878	1522.7427	1525.9285	1529.1699	1532.1079	1535.3264	1538.5350	1541.4689	1544.4102	1547.6095	1550.7505	1553.8109	1556.9008	1559.8911	1563.2571	1566.2953	1569.1743	1572.7380	1575.4818	1578.6165	1581.6807	1584.8387	1588.7543	34.1	38.2	40.3	47.1	38.8	57.3	57.3	57.5	64.5	51.4	60.0	66.2	76.9	66.6	67.7	72.6	64.2	59.2	68.0	59.3	62.2	63.3	45.3	44.5	44.7	40.5
2025/10/16	15:03:47	936	0 0 0 0	1510.4297	1513.6682	1516.6766	1519.7880	1522.7428	1525.9286	1529.1700	1532.1080	1535.3264	1538.5349	1541.4687	1544.4104	1547.6096	1550.7504	1553.8109	1556.9009	1559.8910	1563.2571	1566.2952	1569.1743	1572.7382	1575.4814	1578.6166	1581.6807	1584.8386	1588.7543	34.1	38.2	40.3	47.1	38.8	57.3	57.4	57.5	64.4	51.4	60.0	66.2	76.7	66.6	67.8	72.7	64.2	59.2	67.9	59.3	62.3	63.4	45.3	44.5	44.8	40.5
2025/10/16	15:03:47	937	0 0 0 0	1510.4297	1513.6686	1516.6766	1519.7880	1522.7429	1525.9286	1529.1699	1532.1080	1535.3263	1538.5350	1541.4689	1544.4104	1547.6097	1550.7504	1553.8110	1556.9009	1559.8911	1563.2571	1566.2952	1569.1744	1572.7383	1575.4813	1578.6166	1581.6808	1584.8387	1588.7542	34.1	38.2	40.4	47.1	38.8	57.2	57.3	57.5	64.5	51.4	60.0	66.1	76.8	66.6	67.8	72.7	64.0	59.2	68.0	59.4	62.3	63.3	45.3	44.5	44.8	40.6
