Date Time: 14:43:10.584 16/10/2025
Type interrogator: FBG-scan 908
ID number: F13421-0009-008
Software version: v3.1.9
Active channel: 0
Integration Time [탎]: 118
High Sensitivity: FALSE
Sample Speed [Hz]: 10
Data interleave: 1
Noise Threshold: 7.192566
Comment: 

Index	Wav0	Type	Comp	Unit	k	S1	S2	Wav Ref	CTE
0-1	1510.4235	Strain	-	탎train	7.77E-7				
0-2	1513.6595	Strain	-	탎train	7.77E-7				
0-3	1516.6792	Strain	-	탎train	7.77E-7				
0-4	1519.7850	Strain	-	탎train	7.77E-7				
0-5	1522.7340	Strain	-	탎train	7.77E-7				
0-6	1525.9229	Strain	-	탎train	7.77E-7				
0-7	1529.1588	Strain	-	탎train	7.77E-7				
0-8	1532.0981	Strain	-	탎train	7.77E-7				
0-9	1535.3094	Strain	-	탎train	7.77E-7				
0-10	1538.5337	Strain	-	탎train	7.77E-7				
0-11	1541.4629	Strain	-	탎train	7.77E-7				
0-12	1544.4043	Strain	-	탎train	7.77E-7				
0-13	1547.6082	Strain	-	탎train	7.77E-7				
0-14	1550.7372	Strain	-	탎train	7.77E-7				
0-15	1553.7941	Strain	-	탎train	7.77E-7				
0-16	1556.8947	Strain	-	탎train	7.77E-7				
0-17	1559.9315	Strain	-	탎train	7.77E-7				
0-18	1563.2745	Strain	-	탎train	7.77E-7				
0-19	1566.2719	Strain	-	탎train	7.77E-7				
0-20	1569.1669	Strain	-	탎train	7.77E-7				
0-21	1572.6982	Strain	-	탎train	7.77E-7				
0-22	1575.4855	Strain	-	탎train	7.77E-7				
0-23	1578.6241	Strain	-	탎train	7.77E-7				
0-24	1581.6785	Strain	-	탎train	7.77E-7				
0-25	1584.8418	Strain	-	탎train	7.77E-7				
0-26	1588.7605	Strain	-	탎train	7.77E-7				

Date	Time	LineNumber	System status	0-1	0-2	0-3	0-4	0-5	0-6	0-7	0-8	0-9	0-10	0-11	0-12	0-13	0-14	0-15	0-16	0-17	0-18	0-19	0-20	0-21	0-22	0-23	0-24	0-25	0-26
2025/10/16	14:43:15	2628	0 0 0 0	-1.1	-7.6	-0.5	1.2	-2.3	-1.2	1.7	-0.5	-2.0	0.3	0.2	0.9	-3.8	2.9	0.5	-1.8	-1.9	-4.3	32.8	0.6	-21.9	-13.6	0.5	0.0	0.2	-5.2
2025/10/16	14:43:15	2629	0 0 0 0	-1.1	-8.0	-0.3	1.4	-2.1	-1.2	1.7	-0.5	-2.0	0.3	0.2	0.6	-3.7	2.9	0.3	-1.7	-2.0	-4.4	32.7	0.6	-21.9	-13.8	0.3	-0.2	-0.2	-5.1
2025/10/16	14:43:15	2630	0 0 0 0	-1.2	-7.7	-0.3	1.1	-2.4	-1.5	1.7	-0.7	-2.1	0.3	0.2	0.6	-3.7	2.9	0.5	-1.8	-2.1	-4.3	32.8	0.6	-22.2	-13.8	0.3	0.0	0.0	-5.3
2025/10/16	14:43:15	2631	0 0 0 0	-1.2	-8.0	-0.3	0.9	-2.3	-1.2	1.7	-0.8	-2.0	0.0	0.0	0.8	-3.7	2.9	0.2	-1.8	-2.1	-4.3	33.0	0.6	-22.6	-13.9	0.2	0.0	0.0	-5.1
2025/10/16	14:43:16	2632	0 0 0 0	-0.9	-7.9	-0.3	1.1	-2.1	-1.5	1.8	-1.1	-2.3	0.2	0.2	0.6	-3.7	3.1	0.5	-1.8	-1.9	-4.3	32.8	0.6	-22.6	-14.1	0.2	0.0	0.0	-5.3
2025/10/16	14:43:16	2633	0 0 0 0	-1.2	-7.7	-0.1	1.1	-2.1	-1.5	1.5	-0.8	-2.4	0.2	0.0	0.6	-3.8	2.9	0.2	-2.0	-2.0	-4.2	32.8	0.6	-22.6	-14.2	-0.1	-0.2	-0.2	-4.9
2025/10/16	14:43:16	2634	0 0 0 0	-1.2	-8.0	-0.3	1.2	-2.1	-1.6	1.8	-1.0	-2.3	0.0	0.0	0.6	-3.9	2.9	0.2	-2.0	-2.1	-4.2	32.7	0.6	-22.8	-14.1	0.0	0.0	0.0	-5.1
2025/10/16	14:43:16	2635	0 0 0 0	-1.2	-8.1	-0.2	1.1	-2.0	-1.8	1.7	-1.0	-2.3	-0.2	0.2	0.6	-4.0	2.9	0.2	-1.8	-1.9	-4.2	32.7	0.5	-22.8	-14.3	0.0	0.0	-0.2	-5.1
2025/10/16	14:43:16	2636	0 0 0 0	-1.4	-8.1	-0.2	1.1	-2.2	-1.6	1.5	-1.2	-2.5	-0.2	-0.1	0.6	-3.9	2.9	0.2	-2.1	-2.0	-4.1	32.7	0.6	-22.9	-14.4	0.0	0.0	-0.2	-5.1
2025/10/16	14:43:16	2637	0 0 0 0	-1.5	-8.1	-0.3	1.2	-2.2	-1.8	1.8	-1.1	-2.1	-0.2	0.0	0.5	-3.9	2.9	0.0	-2.0	-2.2	-4.3	32.7	0.8	-22.9	-14.5	-0.1	0.0	-0.2	-4.9
2025/10/16	14:43:16	2638	0 0 0 0	-1.5	-8.2	-0.3	1.1	-2.4	-1.9	1.7	-0.8	-2.0	-0.2	0.2	0.3	-4.0	2.8	0.2	-2.0	-1.9	-4.4	32.5	0.8	-22.9	-14.7	0.0	0.3	0.2	-5.1
